Country Name,      Code,       year_1990,        year_2000,       year_2010,         year_2012,        year_2013,                           year_2014
Albania,            ALB,      6330,                10487,       4395,                  4196,                           ,
Algeria,            DZA,    448068,               250964,           ,             ,                        ,
Angola,             AGO,         0,                     ,     483922,           ,                        ,
Antigua and Barbuda,ATG,         0,                     ,        754,          786,                      ,                             800
Argentina,          ARG,         0,                     ,      33903,        31673,                   24780,
Armenia,            ARM,         0,                     ,           ,             ,                        ,
Aruba,              ABW,         0,                   83,           ,           ,                    ,23
Australia,          AUS,     16327,                40203,      21978,        19816,                    22965,
Azerbaijan,         AZE,         0,                42620,      38153,          27846,                    18916,                        12640
Bahamas,            BHS,         0,                     ,           ,          ,                    ,
Bangladesh,         BGD,   2411263,                     ,     282669,          ,                    ,
Barbados,           BRB,   409,530,                  457,           ,          ,                    827
Belarus,            BLR,         0,                     ,      14605,       10011,                    10626,                           10616
Belgium,            BEL,          ,                  2545,      3534,          2375,                    2158,                         2860
Belize,             BLZ,          ,                    794,       432,          45,                    314,                            348
Benin,              BEN,    305551,                      ,           ,          ,                    ,
Bermuda,            BMU,          ,                      ,           ,          438,                    ,
Bhutan,             BTN,          ,                 23577,       4888,          3865,                    4698,                          4779
Bolivia,            BOL,          ,                 26296,           ,          ,                    ,
Bosnia Herzegovina, BIH,          ,                      ,           ,          1054,                    ,                                399
Botswana,           BWA,     14769,                 25106,           ,          12938,                    12395,
Brazil,             BRA,          ,                      ,           ,          145720,                    455495,
Bulgaria,           BGR,          ,                  5362,        321,          3390,                    3996,                          4277
Burkina Faso,       BFA,          ,                649098,     551636,          501274,                    501098,                      499647
Burundi,            BDI,          ,                393264,      60476,          ,                    78440,                             27340
Cabo Verde,         CPV,          ,                   737,       1479,          448,                    347,                            463
Cambodia,           KHM,          ,                135251,      69514,          43991,                    ,                            57357
Cameroon,           CMR,    327905,                      ,           ,          198007,                    ,                          184714
Canada,             CAN,    48183,                       ,           ,          ,                    ,
Central African Rep,CAF,    126425,                      ,     140959,          134223,                    ,
Chad,               TCD,          ,                420327,           ,          ,                    295355,
Chile,              CHL,          ,                      ,      37444,          50674,                    54306,                                  50233
Colombia,           COL,          ,                 52356,      59277,          113260,                    134714,                                  147281
Comoros,            COM,          ,                 17292,           ,          ,                    9563,
Congo,              COG,          ,                      ,      38435,          10671,                    ,
Costa Rica,         CRI,     25063,            ,           ,          825,                     2761,                                  7641
Cote d'Ivoire,      CIV,          ,                673455,           ,          ,                     561054,                                 514940
Croatia,            HRV,          ,                   6448,       3748,          360,                      ,                                        270
Cuba,               CUB,     32484,                  10473,         13,          10189,                  12925,                                 24438
Cyprus,             CYP,      7572,                    511,        140,          436,                  544,                                  572
Denmark,            DNK,      3691,                   2391,       5153,          2850,                   2228,                                  2945
Djibouti,           DJI,     34889,                  47064,           ,          ,                         21527,                                 18734
Dominica,           DMA,          ,                       ,           ,          ,                          ,
Dominican Republic, DOM,          ,                  86168,      63031,          71430,                  77067,                                  90684
Ecuador,            ECU,          ,                  21169,      19837,          ,                          ,                                  21518
Egypt,              EGY,          ,                 579451,           ,          145352,                  ,                                  33219
El Salvador,        SLV,          ,                  31540,      14173,          15405,                  14012,                                  18824
Equatorial Guinea,  GNQ,          ,                  14138,      24445,          22806,                   ,
Eritrea,            ERI,          ,                  177036,     183321,          186120,                  205607,
Estonia,            EST,          ,                      13,        481,          66,                         209,
Ethiopia,           ETH,          ,                 3497146,    2014672,       1705794,                       ,                                 1276071
Fiji,               FJI,          ,                    2800,           ,              ,                         780,
Finland,            FIN,          ,                        ,       3456,              1259,                   333,                               196
France,             FRA,          ,                    3497,      10704,              10181,                   7010,                               6756
Gabon,              GAB,          ,                        ,           ,              ,                        ,
Gambia,             GMB,          ,                    29921,      37779,              35872,                   43426,                                44729
Georgia,            GEO,          ,                         ,           ,                   ,                       ,
Ghana,              GHA,          ,                   514939,          ,              345681,                 241632,                                199242
Greece,             GRC,     17953,                     5415,      6934,              8394,                 10292,
Grenada,            GRD,          ,                         ,        ,                   ,                 97,                                       170
Guatemala,          GTM,          ,                   167206,      16658,              72099,                101212,                                127722
Guinea,             GIN,    370409,                   428539,      305808,              284518,                284935,                                260689
Guinea-Bissau,      GNB,          ,                   64302,      39845,                      ,             ,
Guyana,             GUY,          ,                         ,      9754,                 9098,                         ,
Haiti,              HTI,          ,                          ,     ,                        ,                      ,
Honduras,           HND,          ,                    55703,      16229,                 11111,                   24762,                                      25029
Hong Kong,          HKG,          ,                        ,          2097,                 1812,                 1329,
Hungary,            HUN,          ,                     7903,      2322,                 5781,                   7386,                                     7737
Iceland,            ISL,          ,                         ,      153,                 162,                   ,
India,              IND,  17687004,                  13416546,      1688497,                 1384677,           931474,
Indonesia,          IDN,    674600,                          ,      380792,                 556230,           855416,                                     1043640
Iran,               IRN,    476684,                    661766,      ,                       ,                 ,
Iraq,               IRQ,          ,                   328460,            ,                 ,                      ,
Ireland,            IRL,     22688,                        25,       446,                  975,                 ,
Isle of Man,        IMY,          ,                          ,      ,                       ,                    ,
Israel,             ISR,          ,                     7397,      8404,                 7823,              9801,                                     10626
Italy,              ITA,          ,                      3740,      15542,                 14079,              10705,
Jamaica,            JAM,      2583,                     10672,      ,                       ,                 ,
Japan,              JPN,          ,                          ,       2036,                 1849,                 1633,
Jordan,             JOR,          ,                          ,      45000,                 60532,                 ,
Kazakhstan,         KAZ,          ,                     30594,            ,                  1534,                 1699,                                    1971
Kenya,              KEN,          ,                 861725,  ,      413319,                       ,
Korea,              PRK,          ,                          ,         ,                     ,                       ,
Korea, Rep,         KOR,          ,                     15908,      20569,                 21024,               54508
Kuwait,             KWT,          ,                      587,      508,                      556,               776,                                        799
Kyrgyz Republic,    KGZ,          ,                     18490,      12635,                 6074,                4170,                                 4892
Lao PDR,            LAO,          ,                    106295,      27315,                 26384,               20224,                                  20826
Latvia,             LVA,          ,                          ,      456,                 592,                   586,                                  1483
Lebanon,            LBN,          ,                          ,      22014,                 30002,               34523,
Lesotho,            LSO,     30385,                     27285,      33169,                 27745,               30561,                                  29707
Liberia,            LBR,          ,                          ,      ,                 ,                        ,                                        220411
Liechtenstein,      LIE,          ,                          ,      ,                 ,                          ,                                        18
Lithuania,          LTU,          ,                      2062,      363,                 654,                 77,                                       66
Luxembourg,         LUX,          ,                       281,      669,                 696,                 686,
Macao,              MAC,      2343,                          ,      ,                     ,                      ,
Macedonia,          MKD,          ,                      2102,      4546,                 7575,                      ,
Madagascar,         MDG,    263135,                    382214,      ,                 ,                            ,
Malawi,             MWI,          ,                          ,      ,                 ,                           ,
Maldives,           MDV,          ,                       681,      ,                  ,                           ,
Mali,               MLI,          ,                          ,      443264,                  478514,                ,553371
Malta,              MLT,       298,                          ,      ,                  1962,                       1392,                                         723
Mauritania,         MRT,          ,                     86978,      77449,                  79230,                74560,                                          69010
Mauritius,          MUS,      1331,                      4240,      1362,                  2725,                1306,                                         1201
Mexico,             MEX,          ,                     64375,      243397,                  137703,                141671,                                         128037
Micronesia,         FSM,          ,                          ,      ,                         ,                  826,
Moldova,            MDA,          ,                      9634,      7228,                  6807,                6710,                                         7270
Mongolia,           MNG,          ,                      7833,      3210,                  3373,                6149,                                         5836
Montenegro,         MNE,          ,                          ,      ,                  1060,                ,
Morocco,            MAR,    857248,                    554374,      97035,                  38712,                20094,                                          20186
Mozambique,         MOZ,          ,                    871926,      375818,                  428213,                408894,                                         395391
Myanmar,            MMR,          ,                    273100,      335948,                  ,                ,
Namibia,            NAM,     22736,                     13638,      21347,                  18617,                14935,
Nauru,              NRU,          ,                          ,           ,                     153,                   ,                                              116
Nepal,              NPL,          ,                    545926,      ,                  ,                             ,                                         95591
Netherlands,        NLD,      7895,                      5778,      ,                  ,,
New Zealand,        NZL,          ,                      1649,      601,                  2160,               2577,                                         2933
Nicaragua,          NIC,    109783,                     49447,      1043,                  ,                ,
Niger,              NER,    516571,                    667999,      671522,                  629700,                657845,                                         680251
Nigeria,            NGA,          ,                   3794358,      4976430,                  ,               ,
Norway,             NOR,       216,                       331,      1837,                  205,               374,                                          279
Oman,               OMN,     52465,                     24288,      ,                  3423,                2904,                                         2812
Pakistan,           PAK,          ,                        ,      2962060,                  3216427,               3402004,                                          3300032
Panama,             PAN,     22424,                     9190,      5636,                  6112,                7880,
Papua New Guinea,   PNG,          ,                         ,      ,                  98137,               ,
Paraguay,           PRY,     25219,                     6940,      41528,                  42488,                ,
Peru,               PER,        ..,                         ,      2485,                  116214,                    68487,                                          72356
Philippines,        PHL,    112418,                         ,      ,                    ,                    70648,
Poland,             POL,        ..,                    66171,      34555,                    30259,                    29380,
Portugal,           PRT,        ..,                         ,      1322,                    2905,                    3083,                                         4129
Puerto Rico,        PRI,        ..,                         ,      14801,                    17256,                    17824,
Qatar,              QAT,      3909,                       57,      4104,                    ,                    ,
Romania,            ROM,          ,                    44872,      28231,                    36512,                    ,
Russian Federation, RUS,          ,                         ,      ,                    54065,                   51620,                                          87370
Rwanda,             RWA,          ,                         ,      ,                    ,                    22858,
Samoa,              WSM,          ,                      967,      391,                    354,                    ,272
San Marino,         SMR,          ,                         ,      ,                    55,                    ,
Sao Tome Principe,  STP,          ,                         ,      564,                    ,                   762,
Saudi Arabia,       SAU,          ,                         ,      156719,                    100318,                    86350,                               84618
Senegal,            SEN,    385223,                   370262,      285710,                    261059,                    ,                                278394
Serbia,             SRB,          ,                         ,        8099,                    5081,                    4595,                                  1552
Seychelles,         SYC,          ,                      235,        ,                    ,                         ,
Sierra Leone,       SLE,          ,                         ,        ,                    6479,                       ,
Slovenia,           SVN,          ,                     1426,        1415,                    947,                   1038,                                896
Solomon Islands,    SLB,          ,                         ,        ,                    ,                           ,
South Africa,       ZAF,          ,                   189973,         ,                    ,                          ,
South Sudan,        SSD,          ,                         ,         ,                    ,                          ,
Spain,              ESP,     11614,                       178,        2002,                    1809,                    3529,                                 11486
Sri Lanka,          LKA,         0,                          ,         49606,                    49055,                   39088,                                31010
St. Kitts Nevis,    KNA,          ,                          ,         455,                    475,                   526,                                          568
St. Lucia,          LCA,       475,                      1389,             ,                    ,                     ,
St. Vin tGrenadines,VCT,          ,                         ,             ,                    ,                    307,                                            578
Sudan,              SDN,          ,                         ,             ,                    1298832,                   ,
Suriname,           SUR,         0,                         ,             ,                    ,                          4740,                                2378
Swaziland,          SWZ,     20937,                    30017,             ,                    ,                         22729,
Sweden,             SWE,      1193,                    3091,             2638,                    1486,                          719,                           525
Switzerland,        CHE,     34802,                    745,             1561,                    869,                          251,                                278
Syria,              SYR,    100509,                         ,             ,                         ,                              2822,
Tajikistan,         TJK,          ,                    31819,             11099,                    9006,                          9465,                         9736
Tanzania,           TZA,   1167515,                    1494911,      446610,                    679855,                          841324,                            .
Thailand,           THA,          ,                     ,             ,                    ,                            ,                               196427
Timor-Leste,        TMP,          ,                    ,             3601,                    2656,                          1548,                     484
Togo,               TGO,    152584,                    ,             ,                    ,                          ,                                 57537
Tonga,              TON,       506,                    ,             ,                    ,                                190,                        104
Trinidad Tobago,    TTO,      7924,                    1046,          977,                    ,                          ,
Tunisia,            TUN,     66869,                    35210,             ,                   ,                           ,
Turkey,             TUR,          ,                    ,             140732,                     217557,                      189760,
Tuvalu,             TUV,         0,                    0,             0,                     0,                                0,                      15
Uganda,             UGA,         0,                    0,             288896,                      0,                      180660,
Ukraine,            UKR,         0,                    ,             38242,                      0,                      ..,                           18974
United Arab Emi,    ARE,         0,       ,             7437,                     7055,                     7475,                         6748
United Kingdom,     GBR,         0,                    377,             11728,               5557,                       ,
United States,      USA,    139641,       268623,       575966,                706575,                 886724,                            672446
Uruguay,            URY,         0,         ,             0,                       0,                           872,
Uzbekistan,         UZB,         0,         ,             91492,                   0,                             ,
Venezuela,          VEN,         0,       193177,        98313,                   121854,                   132355,                       116395
West Bank and Gaza, WBG,         0,         18342,         25526,                  17446,                  15835,                15989
Yemen,              YEM,         0,         0,            492662,                  435504,                  423470,
Zambia,             ZMB,         0,         369246,       164998,                  95905,                  147141,             0
Zimbabwe,           ZWE,         0,         187415,            0,                  130366,                    172963,
